affirmer                           	beweren
l’âge                              	de leeftijd
les agriculteurs                   	boeren
ancien                             	oud
appliquer                          	in de praktijk brengen
assez                              	nogal
assurer                            	verzekeren
au courant                         	op de hoogte
avancer                            	verder gaan
l’avenir                           	de toekomst
l’avis                             	de mening
beaucoup                           	veel
le besoin                          	de noodzaak/ wat nodig is/ wat je nodig hebt
chacun                             	ieder
changer                            	veranderen
chaque                             	elk
le chiffre                         	het cijfer
choisir                            	kiezen
le coeur                           	het hart
comportement                       	gedrag
connaître                          	kennen
conduire                           	autorijden
conseiller                         	aanraden/ raad geven
déconseiller                       	afraden
le contenu                         	de inhoud
contribuer                         	bijdragen
convaincu                          	overtuigd
correspondre                       	overeenkomen
croire                             	geloven
d’après (le 2e alinéa)             	volgens (de 2e alinea)
décevoir                           	teleurstellen
décider                            	beslissen
la décision                        	de beslissing
déduire                            	afleiden van
le défi                            	de uitdaging
dehors                             	buiten
dernier                            	laatste
le destin                          	het lot
devenir                            	worden
la différence                      	het verschil
diversité                          	verscheidenheid
le domaine                         	het gebied
en tant que                        	als
En tant qu’élève il faut travailler	Als leerling moet je werken
encore                             	nog
ensemble                           	geheel/ samen
l’environnement                    	het milieu
l’époque                           	het tijdperk
l’esprit                           	de geest
étonner                            	verbazen
éviter                             	vermijden
exceptionnel                       	buitengewoon
exigeant                           	veeleisend
exprimer                           	uitdrukken
facile                             	gemakkelijk
grâce à                            	dankzij
il faut                            	het is nodig om
le nombre                          	het aantal
le lieu                            	de plaats
lutter                             	strijden tegen
malgré                             	ondanks
marcher                            	lopen
mentir                             	liegen
mensonge                           	leugen
le mot                             	het woord
moyen                              	gemiddeld
les moyens                         	middelen
négliger                           	verwaarlozen
négligeable                        	verwaarloosbaar
nombreux                           	talrijk
notamment                          	met name
ouvrir                             	openen
permettre                          	toestaan
petit                              	klein
plutôt                             	eerder
prendre                            	nemen/ pakken
la preuve                          	het bewijs
prévisible                         	voorzienbaar
propre                             	eigen
quitter                            	verlaten
rare                               	zeldzaam
réfléchir                          	nadenken
regarder                           	kijken
remplacer                          	vervangen
réparer                            	herstellen
séparer                            	scheiden
seulement                          	alleen
le signe                           	het teken
le soir                            	de avond
la solution                        	de oplossing
sortir                             	weggaan
suivre                             	volgen
le sujet                           	het onderwerp
supprimer                          	weghalen/ afschaffen
tel que (tels/ telle/ telles)      	zoals
accepter tel qu’il est             	accepteren zoals hij is
transformer                        	veranderen
unique                             	enige
utiliser                           	gebruiken
l’utilité                          	het nut
la valeur                          	de waarde
acheter                            	kopen
l’affaire                          	de zaak
l’argent                           	het geld
le chômage                         	de werkeloosheid
le commerce                        	de handel
consommer                          	gebruiken
l’emploi                           	de baan
l’entreprise                       	de onderneming
les frais                          	de kosten
gagner                             	winnen
la magasin                         	de winkel
le marché                          	de markt
la marque                          	het merk
le métier                          	het vak
la retraite                        	het pensioen
vendre                             	verkopen
aider                              	helpen
le banlieue                        	de voorstad
beur/ maghrébin                    	iemand uit Marokko/ iemand uit Tunesië/ iemand uit Algerije
la capitale                        	de hoofdstad
la drogue                          	de drugs
les États-Unis                     	Verenigde Staten
l'étranger                         	het buitenland
aisées/ favorisées                 	rijke/ gegoede
milieu favorisé                    	upper-class families
le gouvernement                    	de regering
l’habitant                         	de inwoner
l’habitude                         	de gewoonte
le logement                        	de huisvesting
le Maghreb                         	de Maghreb (Noord-Afrika)
le mannequin                       	het model
milieu peu favorisé                	armer milieu
le monde                           	de wereld
la naissance                       	de geboorte
l’oeuvre                           	het werk
le patrimoine                      	het erfgoed
pays d’origine                     	land van herkomst
les Pays-Bas                       	Nederland
le quartier                        	de wijk
rencontrer                         	ontmoeten
SDF/ sans domicile fixe/ sans abri 	daklozen
la société                         	de samenleving
aîné                               	oudere
alimentaire                        	voedings-
apprendre                          	leren
apprentissage                      	het aanleren
la bac(calauréat)                  	het eindexamen
le cerveau                         	het brein
le collège                         	de onderbouw
comprendre                         	begrijpen
la conscience                      	het bewustzijn
les cours                          	de lessen
demander                           	vragen
le devoir                          	de plicht
les devoirs                        	het huiswerk
l’enfant                           	het kind
l’enseignement                     	het onderwijs
la formation                       	de opleiding
l’histoire                         	de geschiedenis/ het verhaal
internaute                         	internet-gebruiker/ websurfer
les jeunes                         	jongeren
joueur                             	spelen
les lettres                        	de letters/ de brieven
le lycée                           	de bovenbouw
la maladie                         	de ziekte
les notes                          	de (rapport)cijfers
proposer                           	voorstellen
la raison                          	de reden
la récré                           	de pauze
savoir                             	weten/ kennen
sècher (les cours)                 	spijbelen
selon                              	volgens
la toile                           	het Web
